. Sequence file : [C:\Users\thsch\AppData\Local\Temp\seaview_tmp6.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	28   	-40220.46053	Yes        	4        	0.014    	0.000    	 0.33416   0.22508   0.24269   0.19807	-0.80257   0.12695   0.53203   0.14359  
      	     	          	           	          	           	             	                                      	 0.23643   0.78137   0.16573  -1.18353  

  #69	28   	-39854.11234	Yes        	4        	0.014    	0.000    	 0.33840   0.22478   0.24281   0.19401	-0.81549   0.14275   0.50270   0.17003  
      	     	          	           	          	           	             	                                      	 0.21491  -1.02618   0.16878   0.64249  
      	     	          	           	          	           	             	                                      	 0.70060   0.15625  -1.02852   0.17167  
      	     	          	           	          	           	             	                                      	 0.29658   0.74437   0.21485  -1.25581  

  #70	28   	-40050.95853	Yes        	4        	0.019    	0.000    	 0.33328   0.22225   0.23931   0.20516	-0.79190   0.12027   0.51208   0.15955  
      	     	          	           	          	           	             	                                      	 0.18035  -1.04888   0.17701   0.69152  
      	     	          	           	          	           	             	                                      	 0.71314   0.16439  -1.05740   0.17987  
      	     	          	           	          	           	             	                                      	 0.25919   0.74914   0.20982  -1.21815  

  #71	28   	-40783.44744	Yes        	4        	0.015    	0.000    	 0.33827   0.22755   0.23537   0.19881	-0.81506   0.13100   0.52337   0.16068  
      	     	          	           	          	           	             	                                      	 0.19474  -0.99311   0.15359   0.64477  
      	     	          	           	          	           	             	                                      	 0.75219   0.14849  -1.08175   0.18107  
      	     	          	           	          	           	             	                                      	 0.27341   0.73800   0.21437  -1.22578  

  #72	28   	-40128.62232	Yes        	4        	0.021    	0.000    	 0.33207   0.22680   0.24228   0.19885	-0.85239   0.15461   0.53489   0.16289  
      	     	          	           	          	           	             	                                      	 0.22636  -1.02704   0.13658   0.66410  
      	     	          	           	          	           	             	                                      	 0.73312   0.12785  -1.00688   0.14591  
      	     	          	           	          	           	             	                                      	 0.27203   0.75747   0.17778  -1.20728  

  #73	28   	-40627.40872	Yes        	4        	0.014    	0.000    	 0.33047   0.23381   0.23759   0.19814	-0.80685   0.13312   0.54792   0.12581  
      	     	          	           	          	           	             	                                      	 0.18815  -1.00165   0.18566   0.62784  
      	     	          	           	          	           	             	                                      	 0.76213   0.18271  -1.12650   0.18167  
      	     	          	           	          	           	             	                                      	 0.20983   0.74085   0.21783  -1.16851  

  #74	28   	-41569.17827	Yes        	4        	0.021    	0.000    	 0.33627   0.23149   0.23623   0.19601	-0.78247   0.13548   0.51155   0.13543  
      	     	          	           	          	           	             	                                      	 0.19681  -1.05953   0.18456   0.67816  
      	     	          	           	          	           	             	                                      	 0.72818   0.18085  -1.06639   0.15735  
      	     	          	           	          	           	             	                                      	 0.23234   0.80089   0.18964  -1.22287  

  #75	28   	-40213.39162	Yes        	4        	0.014    	0.000    	 0.33964   0.22531   0.24276   0.19228	-0.79066   0.16064   0.48964   0.14038  
      	     	          	           	          	           	             	                                      	 0.24216  -1.09818   0.14133   0.71469  
      	     	          	           	          	           	             	                                      	 0.68504   0.13117  -0.97516   0.15895  
      	     	          	           	          	           	             	                                      	 0.24797   0.83744   0.20068  -1.28608  

  #76	28   	-39821.38682	Yes        	4        	0.014    	0.000    	 0.32487   0.22895   0.24169   0.20449	-0.80687   0.14985   0.50437   0.15265  
      	     	          	           	          	           	             	                                      	 0.21264  -1.09640   0.18537   0.69839  
      	     	          	           	          	           	             	                                      	 0.67796   0.17559  -1.00060   0.14704  
      	     	          	           	          	           	             	                                      	 0.24251   0.78191   0.17379  -1.19820  

  #77	28   	-39900.41060	Yes        	4        	0.017    	0.000    	 0.33473   0.22440   0.24767   0.19319	-0.81981   0.14200   0.55346   0.12435  
      	     	          	           	          	           	             	                                      	 0.21181  -1.01420   0.19949   0.60290  
      	     	          	           	          	           	             	                                      	 0.74800   0.18074  -1.11255   0.18381  
      	     	          	           	          	           	             	                                      	 0.21546   0.70032   0.23565  -1.15142  

  #78	28   	-39637.94285	Yes        	4        	0.014    	0.000    	 0.33370   0.22575   0.24362   0.19694	-0.83399   0.14840   0.52621   0.15938  
      	     	          	           	          	           	             	                                      	 0.21936  -1.06073   0.16610   0.67528  
      	     	          	           	          	           	             	                                      	 0.72078   0.15391  -1.00508   0.13039  
      	     	          	           	          	           	             	                                      	 0.27005   0.77405   0.16129  -1.20539  

  #79	28   	-39742.69212	Yes        	4        	0.017    	0.000    	 0.33000   0.22126   0.24749   0.20125	-0.80840   0.13418   0.53696   0.13726  
      	     	          	           	          	           	             	                                      	 0.20012  -1.07993   0.17860   0.70121  
      	     	          	           	          	           	             	                                      	 0.71598   0.15967  -1.03145   0.15580  
      	     	          	           	          	           	             	                                      	 0.22507   0.77095   0.19160  -1.18762  

  #80	28   	-39613.09829	Yes        	4        	0.014    	0.000    	 0.34151   0.22652   0.23241   0.19956	-0.81333   0.13445   0.55014   0.12874  
      	     	          	           	          	           	             	                                      	 0.20271  -1.00183   0.16267   0.63645  
      	     	          	           	          	           	             	                                      	 0.80838   0.15855  -1.14430   0.17737  
      	     	          	           	          	           	             	                                      	 0.22032   0.72242   0.20657  -1.14932  

  #81	28   	-41025.40457	Yes        	4        	0.014    	0.000    	 0.33677   0.22493   0.24436   0.19395	-0.76822   0.13260   0.49508   0.14054  
      	     	          	           	          	           	             	                                      	 0.19853  -1.08250   0.16572   0.71825  
      	     	          	           	          	           	             	                                      	 0.68230   0.15254  -1.00862   0.17377  
      	     	          	           	          	           	             	                                      	 0.24402   0.83297   0.21894  -1.29593  

  #82	28   	-41034.18097	Yes        	4        	0.014    	0.000    	 0.32835   0.23007   0.24595   0.19563	-0.84424   0.16773   0.53486   0.14165  
      	     	          	           	          	           	             	                                      	 0.23938  -1.03756   0.16011   0.63807  
      	     	          	           	          	           	             	                                      	 0.71402   0.14976  -1.02303   0.15924  
      	     	          	           	          	           	             	                                      	 0.23774   0.75037   0.20020  -1.18831  

  #83	28   	-40118.64016	Yes        	4        	0.014    	0.000    	 0.33350   0.22995   0.23987   0.19668	-0.77474   0.13058   0.49327   0.15089  
      	     	          	           	          	           	             	                                      	 0.18938  -1.06777   0.15177   0.72662  
      	     	          	           	          	           	             	                                      	 0.68580   0.14549  -0.99655   0.16526  
      	     	          	           	          	           	             	                                      	 0.25586   0.84951   0.20155  -1.30692  

  #84	28   	-39439.21817	Yes        	4        	0.021    	0.000    	 0.33135   0.22914   0.23679   0.20272	-0.77511   0.15428   0.48871   0.13212  
      	     	          	           	          	           	             	                                      	 0.22310  -1.09529   0.17404   0.69816  
      	     	          	           	          	           	             	                                      	 0.68385   0.16841  -1.03518   0.18292  
      	     	          	           	          	           	             	                                      	 0.21595   0.78915   0.21367  -1.21877  

  #85	28   	-40796.10082	Yes        	4        	0.015    	0.000    	 0.32902   0.22935   0.23782   0.20382	-0.80547   0.16040   0.53397   0.11110  
      	     	          	           	          	           	             	                                      	 0.23011  -1.08948   0.18834   0.67104  
      	     	          	           	          	           	             	                                      	 0.73876   0.18163  -1.07971   0.15932  
      	     	          	           	          	           	             	                                      	 0.17935   0.75509   0.18590  -1.12034  

  #86	28   	-39903.34927	Yes        	4        	0.014    	0.000    	 0.33480   0.23147   0.23592   0.19781	-0.80502   0.13786   0.52958   0.13758  
      	     	          	           	          	           	             	                                      	 0.19940  -1.04406   0.14739   0.69727  
      	     	          	           	          	           	             	                                      	 0.75156   0.14462  -1.04436   0.14818  
      	     	          	           	          	           	             	                                      	 0.23288   0.81596   0.17673  -1.22557  

  #87	28   	-40257.31491	Yes        	4        	0.014    	0.000    	 0.33434   0.22814   0.24131   0.19620	-0.82781   0.13317   0.55511   0.13953  
      	     	          	           	          	           	             	                                      	 0.19516  -0.98311   0.17556   0.61239  
      	     	          	           	          	           	             	                                      	 0.76911   0.16598  -1.11520   0.18011  
      	     	          	           	          	           	             	                                      	 0.23777   0.71209   0.22153  -1.17138  

  #88	28   	-40856.65013	Yes        	4        	0.021    	0.000    	 0.33368   0.22625   0.24639   0.19368	-0.82172   0.14008   0.53003   0.15160  
      	     	          	           	          	           	             	                                      	 0.20660  -1.04828   0.16296   0.67872  
      	     	          	           	          	           	             	                                      	 0.71782   0.14964  -1.01105   0.14359  
      	     	          	           	          	           	             	                                      	 0.26119   0.79284   0.18267  -1.23670  

  #89	28   	-40066.17631	Yes        	4        	0.014    	0.000    	 0.32771   0.22830   0.24229   0.20170	-0.82454   0.16287   0.52826   0.13341  
      	     	          	           	          	           	             	                                      	 0.23379  -1.07044   0.19747   0.63918  
      	     	          	           	          	           	             	                                      	 0.71448   0.18607  -1.06062   0.16007  
      	     	          	           	          	           	             	                                      	 0.21676   0.72348   0.19228  -1.13252  

  #90	28   	-40203.10741	Yes        	4        	0.014    	0.000    	 0.33156   0.23452   0.23990   0.19402	-0.83202   0.15120   0.53249   0.14833  
      	     	          	           	          	           	             	                                      	 0.21377  -1.00197   0.18976   0.59844  
      	     	          	           	          	           	             	                                      	 0.73594   0.18550  -1.08522   0.16377  
      	     	          	           	          	           	             	                                      	 0.25347   0.72336   0.20249  -1.17932  

  #91	28   	-39792.96175	Yes        	4        	0.014    	0.000    	 0.33447   0.22391   0.24487   0.19675	-0.82318   0.14064   0.52744   0.15510  
      	     	          	           	          	           	             	                                      	 0.21008  -1.01747   0.17184   0.63555  
      	     	          	           	          	           	             	                                      	 0.72045   0.15713  -1.05680   0.17922  
      	     	          	           	          	           	             	                                      	 0.26367   0.72331   0.22305  -1.21002  

  #92	28   	-40664.09324	Yes        	4        	0.021    	0.000    	 0.33489   0.22410   0.24055   0.20045	-0.80560   0.13987   0.51556   0.15017  
      	     	          	           	          	           	             	                                      	 0.20901  -1.06780   0.16197   0.69681  
      	     	          	           	          	           	             	                                      	 0.71776   0.15089  -1.02560   0.15694  
      	     	          	           	          	           	             	                                      	 0.25089   0.77904   0.18834  -1.21827  

  #93	28   	-41311.94466	Yes        	4        	0.014    	0.000    	 0.33398   0.22219   0.24203   0.20180	-0.84089   0.15818   0.54286   0.13984  
      	     	          	           	          	           	             	                                      	 0.23778  -1.05570   0.17796   0.63996  
      	     	          	           	          	           	             	                                      	 0.74910   0.16337  -1.06710   0.15463  
      	     	          	           	          	           	             	                                      	 0.23145   0.70462   0.18547  -1.12154  

  #94	28   	-40478.01646	Yes        	4        	0.014    	0.000    	 0.33298   0.22954   0.24141   0.19607	-0.82293   0.13442   0.54095   0.14756  
      	     	          	           	          	           	             	                                      	 0.19500  -0.99219   0.17506   0.62214  
      	     	          	           	          	           	             	                                      	 0.74613   0.16645  -1.09067   0.17809  
      	     	          	           	          	           	             	                                      	 0.25059   0.72835   0.21927  -1.19820  

  #95	28   	-39817.34433	Yes        	4        	0.017    	0.000    	 0.33457   0.22967   0.23674   0.19902	-0.79885   0.12530   0.50678   0.16677  
      	     	          	           	          	           	             	                                      	 0.18253  -1.01455   0.16153   0.67050  
      	     	          	           	          	           	             	                                      	 0.71619   0.15670  -1.04878   0.17588  
      	     	          	           	          	           	             	                                      	 0.28035   0.77376   0.20922  -1.26333  

  #96	28   	-40255.24947	Yes        	4        	0.014    	0.000    	 0.33957   0.22299   0.23890   0.19854	-0.80050   0.15968   0.49380   0.14702  
      	     	          	           	          	           	             	                                      	 0.24316  -1.09164   0.20751   0.64097  
      	     	          	           	          	           	             	                                      	 0.70190   0.19369  -1.05871   0.16312  
      	     	          	           	          	           	             	                                      	 0.25146   0.71990   0.19627  -1.16763  

  #97	28   	-39424.35089	Yes        	4        	0.014    	0.000    	 0.33221   0.22694   0.24009   0.20076	-0.82093   0.14773   0.52990   0.14331  
      	     	          	           	          	           	             	                                      	 0.21625  -1.02977   0.14552   0.66800  
      	     	          	           	          	           	             	                                      	 0.73319   0.13755  -1.04841   0.17768  
      	     	          	           	          	           	             	                                      	 0.23714   0.75513   0.21249  -1.20476  

  #98	28   	-38791.90218	Yes        	4        	0.017    	0.000    	 0.33952   0.22127   0.24408   0.19513	-0.81590   0.13650   0.50887   0.17053  
      	     	          	           	          	           	             	                                      	 0.20945  -1.06874   0.16487   0.69442  
      	     	          	           	          	           	             	                                      	 0.70786   0.14946  -0.99191   0.13458  
      	     	          	           	          	           	             	                                      	 0.29673   0.78744   0.16834  -1.25251  

  #99	28   	-40508.52924	Yes        	4        	0.014    	0.000    	 0.33916   0.22858   0.23574   0.19652	-0.80539   0.16501   0.49858   0.14180  
      	     	          	           	          	           	             	                                      	 0.24483  -1.06381   0.19779   0.62119  
      	     	          	           	          	           	             	                                      	 0.71731   0.19179  -1.07726   0.16816  
      	     	          	           	          	           	             	                                      	 0.24472   0.72253   0.20172  -1.16897  

  #100	28   	-40877.06153	Yes        	4        	0.014    	0.000    	 0.33754   0.23282   0.23366   0.19598	-0.83531   0.14665   0.55997   0.12869  
      	     	          	           	          	           	             	                                      	 0.21261  -1.00153   0.17553   0.61340  
      	     	          	           	          	           	             	                                      	 0.80890   0.17489  -1.13092   0.14712  
      	     	          	           	          	           	             	                                      	 0.22163   0.72870   0.17541  -1.12574  

