. Sequence file : [C:\Users\thsch\AppData\Local\Temp\seaview_tmp5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	28   	-32251.77773	Yes        	4        	0.017    	0.000    	 0.18945   0.26314   0.24528   0.30213	-1.23362   0.19972   0.92733   0.10657  
      	     	          	           	          	           	             	                                      	 0.07811   0.57008   0.11403  -0.76222  

  #69	28   	-31316.66400	Yes        	4        	0.021    	0.000    	 0.19163   0.26167   0.24777   0.29893	-1.22432   0.20802   0.89018   0.12612  
      	     	          	           	          	           	             	                                      	 0.15235  -1.01929   0.17528   0.69166  
      	     	          	           	          	           	             	                                      	 0.68850   0.18511  -1.02911   0.15550  
      	     	          	           	          	           	             	                                      	 0.08085   0.60544   0.12889  -0.81518  

  #70	28   	-31707.96826	Yes        	4        	0.017    	0.000    	 0.20005   0.26001   0.24574   0.29421	-1.11057   0.14139   0.83165   0.13753  
      	     	          	           	          	           	             	                                      	 0.10878  -0.99989   0.15216   0.73895  
      	     	          	           	          	           	             	                                      	 0.67703   0.16100  -1.02577   0.18775  
      	     	          	           	          	           	             	                                      	 0.09352   0.65306   0.15681  -0.90339  

  #71	28   	-31142.64354	Yes        	4        	0.017    	0.000    	 0.19639   0.25716   0.24405   0.30240	-1.21400   0.19062   0.90025   0.12313  
      	     	          	           	          	           	             	                                      	 0.14557  -1.02775   0.14812   0.73405  
      	     	          	           	          	           	             	                                      	 0.72447   0.15608  -1.02281   0.14226  
      	     	          	           	          	           	             	                                      	 0.07997   0.62424   0.11481  -0.81901  

  #72	28   	-31256.42718	Yes        	4        	0.017    	0.000    	 0.19600   0.25696   0.24553   0.30152	-1.24509   0.16613   0.92445   0.15450  
      	     	          	           	          	           	             	                                      	 0.12672  -0.98513   0.17383   0.68458  
      	     	          	           	          	           	             	                                      	 0.73797   0.18192  -1.06403   0.14413  
      	     	          	           	          	           	             	                                      	 0.10043   0.58341   0.11737  -0.80121  

  #73	28   	-31529.30319	Yes        	4        	0.017    	0.000    	 0.19846   0.25942   0.24080   0.30132	-1.15473   0.17802   0.83866   0.13805  
      	     	          	           	          	           	             	                                      	 0.13619  -1.02209   0.16042   0.72547  
      	     	          	           	          	           	             	                                      	 0.69121   0.17283  -1.03435   0.17031  
      	     	          	           	          	           	             	                                      	 0.09093   0.62460   0.13610  -0.85162  

  #74	28   	-31561.70741	Yes        	4        	0.021    	0.000    	 0.20064   0.25958   0.23655   0.30323	-1.19902   0.19713   0.87235   0.12954  
      	     	          	           	          	           	             	                                      	 0.15236  -0.98533   0.13199   0.70098  
      	     	          	           	          	           	             	                                      	 0.73991   0.14484  -1.06742   0.18267  
      	     	          	           	          	           	             	                                      	 0.08571   0.60007   0.14250  -0.82828  

  #75	28   	-31879.18065	Yes        	4        	0.021    	0.000    	 0.19364   0.25834   0.23865   0.30937	-1.29383   0.17516   1.01807   0.10059  
      	     	          	           	          	           	             	                                      	 0.13129  -0.92149   0.15300   0.63720  
      	     	          	           	          	           	             	                                      	 0.82603   0.16562  -1.18158   0.18993  
      	     	          	           	          	           	             	                                      	 0.06296   0.53210   0.14652  -0.74158  

  #76	28   	-31186.99196	Yes        	4        	0.017    	0.000    	 0.19344   0.26219   0.24329   0.30108	-1.29269   0.19210   0.99921   0.10138  
      	     	          	           	          	           	             	                                      	 0.14173  -0.97282   0.13796   0.69314  
      	     	          	           	          	           	             	                                      	 0.79444   0.14867  -1.07482   0.13170  
      	     	          	           	          	           	             	                                      	 0.06514   0.60360   0.10642  -0.77516  

  #77	28   	-30898.33729	Yes        	4        	0.017    	0.000    	 0.19846   0.25895   0.24069   0.30190	-1.20895   0.19211   0.85443   0.16242  
      	     	          	           	          	           	             	                                      	 0.14723  -0.99730   0.14740   0.70266  
      	     	          	           	          	           	             	                                      	 0.70452   0.15858  -1.02908   0.16598  
      	     	          	           	          	           	             	                                      	 0.10677   0.60268   0.13233  -0.84178  

  #78	28   	-30764.12454	Yes        	4        	0.017    	0.000    	 0.19428   0.25545   0.25218   0.29809	-1.26087   0.20270   0.92314   0.13503  
      	     	          	           	          	           	             	                                      	 0.15416  -0.98438   0.14409   0.68614  
      	     	          	           	          	           	             	                                      	 0.71118   0.14596  -1.02748   0.17034  
      	     	          	           	          	           	             	                                      	 0.08800   0.58801   0.14411  -0.82012  

  #79	28   	-31967.75514	Yes        	4        	0.017    	0.000    	 0.19632   0.25719   0.24687   0.29962	-1.28677   0.18330   0.98533   0.11815  
      	     	          	           	          	           	             	                                      	 0.13992  -0.94893   0.15459   0.65442  
      	     	          	           	          	           	             	                                      	 0.78358   0.16105  -1.10387   0.15923  
      	     	          	           	          	           	             	                                      	 0.07742   0.56174   0.13119  -0.77035  

  #80	28   	-31573.19101	Yes        	4        	0.017    	0.000    	 0.19574   0.25491   0.24636   0.30299	-1.16617   0.18861   0.87826   0.09930  
      	     	          	           	          	           	             	                                      	 0.14483  -1.01596   0.17606   0.69507  
      	     	          	           	          	           	             	                                      	 0.69780   0.18218  -1.08160   0.20162  
      	     	          	           	          	           	             	                                      	 0.06415   0.58479   0.16393  -0.81287  

  #81	28   	-31294.16596	Yes        	4        	0.021    	0.000    	 0.20137   0.25420   0.24572   0.29871	-1.17760   0.18506   0.87542   0.11712  
      	     	          	           	          	           	             	                                      	 0.14660  -1.03422   0.20371   0.68391  
      	     	          	           	          	           	             	                                      	 0.71742   0.21074  -1.07969   0.15153  
      	     	          	           	          	           	             	                                      	 0.07895   0.58199   0.12465  -0.78560  

  #82	28   	-31673.08146	Yes        	4        	0.017    	0.000    	 0.19802   0.25743   0.24102   0.30352	-1.20122   0.19869   0.86418   0.13835  
      	     	          	           	          	           	             	                                      	 0.15284  -1.00432   0.14120   0.71027  
      	     	          	           	          	           	             	                                      	 0.71001   0.15082  -1.03894   0.17811  
      	     	          	           	          	           	             	                                      	 0.09027   0.60243   0.14144  -0.83414  

  #83	28   	-31586.35025	Yes        	4        	0.017    	0.000    	 0.19319   0.25991   0.24358   0.30332	-1.27127   0.19521   0.94499   0.13107  
      	     	          	           	          	           	             	                                      	 0.14510  -0.98934   0.18499   0.65925  
      	     	          	           	          	           	             	                                      	 0.74952   0.19739  -1.09050   0.14358  
      	     	          	           	          	           	             	                                      	 0.08348   0.56490   0.11530  -0.76368  

  #84	28   	-31644.50644	Yes        	4        	0.017    	0.000    	 0.19639   0.25962   0.24218   0.30181	-1.17629   0.12785   0.90518   0.14325  
      	     	          	           	          	           	             	                                      	 0.09671  -0.97025   0.14969   0.72384  
      	     	          	           	          	           	             	                                      	 0.73402   0.16048  -1.06875   0.17426  
      	     	          	           	          	           	             	                                      	 0.09321   0.62266   0.13983  -0.85571  

  #85	28   	-31473.25214	Yes        	4        	0.017    	0.000    	 0.19914   0.25594   0.24233   0.30259	-1.34859   0.18419   1.05085   0.11355  
      	     	          	           	          	           	             	                                      	 0.14331  -0.90636   0.15799   0.60506  
      	     	          	           	          	           	             	                                      	 0.86352   0.16686  -1.17957   0.14918  
      	     	          	           	          	           	             	                                      	 0.07473   0.51179   0.11948  -0.70599  

  #86	28   	-31418.79944	Yes        	4        	0.017    	0.000    	 0.19343   0.25846   0.24256   0.30555	-1.23926   0.20551   0.92046   0.11329  
      	     	          	           	          	           	             	                                      	 0.15380  -0.99049   0.15060   0.68608  
      	     	          	           	          	           	             	                                      	 0.73399   0.16047  -1.07607   0.18160  
      	     	          	           	          	           	             	                                      	 0.07171   0.58033   0.14416  -0.79621  

  #87	28   	-31337.37463	Yes        	4        	0.017    	0.000    	 0.19837   0.25827   0.24224   0.30111	-1.17132   0.20117   0.85946   0.11069  
      	     	          	           	          	           	             	                                      	 0.15452  -1.04284   0.16763   0.72070  
      	     	          	           	          	           	             	                                      	 0.70382   0.17872  -1.04028   0.15774  
      	     	          	           	          	           	             	                                      	 0.07292   0.61816   0.12690  -0.81798  

  #88	28   	-30951.68697	Yes        	4        	0.017    	0.000    	 0.19374   0.25878   0.25170   0.29578	-1.26041   0.18978   0.95546   0.11517  
      	     	          	           	          	           	             	                                      	 0.14209  -0.96655   0.14566   0.67880  
      	     	          	           	          	           	             	                                      	 0.73544   0.14975  -1.05385   0.16866  
      	     	          	           	          	           	             	                                      	 0.07544   0.59389   0.14353  -0.81286  

  #89	28   	-31600.58887	Yes        	4        	0.021    	0.000    	 0.19838   0.25848   0.24222   0.30092	-1.23626   0.14694   0.96365   0.12567  
      	     	          	           	          	           	             	                                      	 0.11278  -0.95069   0.16042   0.67749  
      	     	          	           	          	           	             	                                      	 0.78926   0.17119  -1.11800   0.15755  
      	     	          	           	          	           	             	                                      	 0.08285   0.58194   0.12682  -0.79161  

  #90	28   	-31739.50012	Yes        	4        	0.017    	0.000    	 0.19748   0.26350   0.24048   0.29854	-1.10892   0.14013   0.82388   0.14491  
      	     	          	           	          	           	             	                                      	 0.10502  -1.00442   0.15428   0.74512  
      	     	          	           	          	           	             	                                      	 0.67657   0.16905  -1.02867   0.18305  
      	     	          	           	          	           	             	                                      	 0.09585   0.65765   0.14745  -0.90095  

  #91	28   	-31770.20480	Yes        	4        	0.021    	0.000    	 0.19837   0.26648   0.23607   0.29908	-1.27862   0.19031   0.91004   0.17827  
      	     	          	           	          	           	             	                                      	 0.14167  -0.91761   0.13643   0.63950  
      	     	          	           	          	           	             	                                      	 0.76473   0.15401  -1.08642   0.16767  
      	     	          	           	          	           	             	                                      	 0.11824   0.56980   0.13235  -0.82039  

  #92	28   	-31287.93780	Yes        	4        	0.021    	0.000    	 0.19604   0.25889   0.24055   0.30452	-1.13646   0.16840   0.81985   0.14820  
      	     	          	           	          	           	             	                                      	 0.12752  -1.04237   0.15651   0.75834  
      	     	          	           	          	           	             	                                      	 0.66815   0.16844  -1.00438   0.16779  
      	     	          	           	          	           	             	                                      	 0.09541   0.64473   0.13254  -0.87267  

  #93	28   	-32048.13848	Yes        	4        	0.017    	0.000    	 0.19747   0.25856   0.24449   0.29948	-1.20338   0.19130   0.90285   0.10923  
      	     	          	           	          	           	             	                                      	 0.14611  -0.98321   0.16505   0.67206  
      	     	          	           	          	           	             	                                      	 0.72923   0.17454  -1.09160   0.18783  
      	     	          	           	          	           	             	                                      	 0.07203   0.58023   0.15334  -0.80560  

  #94	28   	-31235.67688	Yes        	4        	0.017    	0.000    	 0.19398   0.26291   0.24342   0.29968	-1.29544   0.18653   0.98157   0.12735  
      	     	          	           	          	           	             	                                      	 0.13763  -0.95924   0.18650   0.63511  
      	     	          	           	          	           	             	                                      	 0.78221   0.20143  -1.11796   0.13432  
      	     	          	           	          	           	             	                                      	 0.08243   0.55717   0.10911  -0.74871  

  #95	28   	-31168.95257	Yes        	4        	0.017    	0.000    	 0.19425   0.25963   0.24456   0.30156	-1.19781   0.15905   0.91220   0.12656  
      	     	          	           	          	           	             	                                      	 0.11900  -1.00850   0.17595   0.71355  
      	     	          	           	          	           	             	                                      	 0.72451   0.18679  -1.06010   0.14880  
      	     	          	           	          	           	             	                                      	 0.08152   0.61433   0.12068  -0.81653  

  #96	28   	-32163.72460	Yes        	4        	0.017    	0.000    	 0.19594   0.25778   0.24339   0.30289	-1.27953   0.18601   0.97989   0.11363  
      	     	          	           	          	           	             	                                      	 0.14138  -0.94415   0.17722   0.62554  
      	     	          	           	          	           	             	                                      	 0.78883   0.18769  -1.15056   0.17403  
      	     	          	           	          	           	             	                                      	 0.07351   0.53237   0.13985  -0.74573  

  #97	28   	-31982.15906	Yes        	4        	0.021    	0.000    	 0.19166   0.26307   0.24134   0.30393	-1.15508   0.16624   0.85384   0.13500  
      	     	          	           	          	           	             	                                      	 0.12112  -1.01279   0.18063   0.71104  
      	     	          	           	          	           	             	                                      	 0.67809   0.19690  -1.05749   0.18250  
      	     	          	           	          	           	             	                                      	 0.08513   0.61544   0.14491  -0.84548  

  #98	28   	-32721.57472	Yes        	4        	0.021    	0.000    	 0.20078   0.25951   0.24329   0.29642	-1.29481   0.14912   1.02603   0.11966  
      	     	          	           	          	           	             	                                      	 0.11537  -0.88640   0.16286   0.60816  
      	     	          	           	          	           	             	                                      	 0.84676   0.17372  -1.18464   0.16416  
      	     	          	           	          	           	             	                                      	 0.08105   0.53243   0.13474  -0.74822  

  #99	28   	-32308.47334	Yes        	4        	0.017    	0.000    	 0.19265   0.25698   0.24354   0.30683	-1.17782   0.14447   0.91439   0.11896  
      	     	          	           	          	           	             	                                      	 0.10831  -0.98666   0.16245   0.71590  
      	     	          	           	          	           	             	                                      	 0.72331   0.17142  -1.08925   0.19452  
      	     	          	           	          	           	             	                                      	 0.07469   0.59960   0.15439  -0.82868  

  #100	28   	-32255.95581	Yes        	4        	0.021    	0.000    	 0.19881   0.26091   0.24242   0.29787	-1.25419   0.14981   0.97441   0.12997  
      	     	          	           	          	           	             	                                      	 0.11415  -0.92081   0.16026   0.64639  
      	     	          	           	          	           	             	                                      	 0.79913   0.17249  -1.13742   0.16581  
      	     	          	           	          	           	             	                                      	 0.08675   0.56618   0.13494  -0.78787  

